"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\applicatonLayer\ObjectsInitializer copy 2.ts", "TypeScript", 99, 7, 17, 123
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\applicatonLayer\ObjectsInitializer.ts", "TypeScript", 117, 13, 24, 154
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\CameraInitializer.ts", "TypeScript", 19, 0, 2, 21
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\CanvasInitializer.ts", "TypeScript", 20, 0, 1, 21
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\EngineInitializer.ts", "TypeScript", 20, 0, 5, 25
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\InspectorDebugModel.ts", "TypeScript", 58, 0, 10, 68
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\MaterialOptimizer.ts", "TypeScript", 23, 6, 3, 32
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\baseSetup\SceneInitializer.ts", "TypeScript", 45, 2, 15, 62
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\game.ts", "TypeScript", 15, 1, 3, 19
"c:\Users\Rafael\Documents\FISTEC3D\Babylonjsv7\breakaway_force\src\main.ts", "TypeScript", 2, 0, 2, 4
"Total", "-", 418, 29, 82, 529
